Freq.	V(i_sns_pga)	V(v_sns_pga)
5.01187233627279e+04	(5.03345702876625e+00dB,1.51282815214596e+02°)	(-1.33256124765932e+01dB,-1.12769207626224e+02°)
5.24807460249780e+04	(5.08251053050817e+00dB,1.49078053214488e+02°)	(-1.37042153996382e+01dB,-1.14667515290353e+02°)
5.49540873857632e+04	(5.13356803209558e+00dB,1.46774764172140e+02°)	(-1.40834661381149e+01dB,-1.16646015700050e+02°)
5.75439937337165e+04	(5.18659836403560e+00dB,1.44364007178862e+02°)	(-1.44636450788280e+01dB,-1.18712208260638e+02°)
6.02559586074366e+04	(5.24149790115549e+00dB,1.41836186926219e+02°)	(-1.48451357746423e+01dB,-1.20874071995284e+02°)
6.30957344480202e+04	(5.29806871161780e+00dB,1.39181059946184e+02°)	(-1.52284375011519e+01dB,-1.23140079661962e+02°)
6.60693448007605e+04	(5.35600235929329e+00dB,1.36387700078927e+02°)	(-1.56141919182564e+01dB,-1.25519160249152e+02°)
6.91830970918946e+04	(5.41485281226706e+00dB,1.33444549321272e+02°)	(-1.60032092077094e+01dB,-1.28020652099114e+02°)
7.24435960075000e+04	(5.47400971256444e+00dB,1.30339455325552e+02°)	(-1.63964961145299e+01dB,-1.30654216680261e+02°)
7.58577575029195e+04	(5.53267403567841e+00dB,1.27059776346514e+02°)	(-1.67952893423259e+01dB,-1.33429690448226e+02°)
7.94328234724293e+04	(5.58982529588811e+00dB,1.23592543251890e+02°)	(-1.72010879718948e+01dB,-1.36356886613166e+02°)
8.31763771102683e+04	(5.64419482204527e+00dB,1.19924669645692e+02°)	(-1.76156840810521e+01dB,-1.39445322632838e+02°)
8.70963589956093e+04	(5.69424235503863e+00dB,1.16043262474050e+02°)	(-1.80411910123225e+01dB,-1.42703834321471e+02°)
9.12010839355923e+04	(5.73814347278174e+00dB,1.11935991281213e+02°)	(-1.84800633617200e+01dB,-1.46140123239231e+02°)
9.54992586021450e+04	(5.77378940875094e+00dB,1.07591574760619e+02°)	(-1.89350985324825e+01dB,-1.49760192651130e+02°)
1.00000000000001e+05	(5.79881052678102e+00dB,1.03000283280886e+02°)	(-1.94094196504587e+01dB,-1.53567689869293e+02°)
1.04712854805091e+05	(5.81062870298717e+00dB,9.81545106070725e+01°)	(-1.99064304108981e+01dB,-1.57563217470555e+02°)
1.09647819614320e+05	(5.80654606313481e+00dB,9.30492525519979e+01°)	(-2.04297281704686e+01dB,-1.61743644027004e+02°)
