Freq.	V(i_sns)	V(v_sns)
1.51356124843623e+04	(-6.41735243181869e+00dB,-1.69787662996874e+02°)	(-6.00654357887197e+00dB,-7.87217619722246e+01°)
1.58489319246113e+04	(-6.37595961873461e+00dB,-1.70896149645124e+02°)	(-6.36760029949683e+00dB,-7.97793131286895e+01°)
1.65958690743758e+04	(-6.33687574454092e+00dB,-1.71994187194526e+02°)	(-6.73120198180121e+00dB,-8.08239108477993e+01°)
1.73780082874940e+04	(-6.29983674505172e+00dB,-1.73083337169699e+02°)	(-7.09710727205041e+00dB,-8.18569832600266e+01°)
1.81970085861001e+04	(-6.26458685875099e+00dB,-1.74165265371520e+02°)	(-7.46508529824564e+00dB,-8.28800542100018e+01°)
1.90546071796327e+04	(-6.23087802139916e+00dB,-1.75241738797501e+02°)	(-7.83491527262931e+00dB,-8.38947394398619e+01°)
1.99526231496890e+04	(-6.19846915976922e+00dB,-1.76314623950613e+02°)	(-8.20638601291470e+00dB,-8.49027440721913e+01°)
2.08929613085406e+04	(-6.16712541858117e+00dB,-1.77385886565582e+02°)	(-8.57929541814079e+00dB,-8.59058614171880e+01°)
2.18776162394958e+04	(-6.13661733208029e+00dB,-1.78457592848524e+02°)	(-8.95344991255123e+00dB,-8.69059731825036e+01°)
2.29086765276780e+04	(-6.10671997326613e+00dB,-1.79531912255733e+02°)	(-9.32866389266298e+00dB,-8.79050511008738e+01°)
2.39883291901952e+04	(-6.07721208033134e+00dB,1.79388878104610e+02°)	(-9.70475917939772e+00dB,-8.89051600380620e+01°)
2.51188643150961e+04	(-6.04787521576837e+00dB,1.78302387390302e+02°)	(-1.00815645332811e+01dB,-8.99084626226641e+01°)
2.63026799189541e+04	(-6.01849292380997e+00dB,1.77206103167635e+02°)	(-1.04589152011239e+01dB,-9.09172254688111e+01°)
2.75422870333820e+04	(-5.98884998106279e+00dB,1.76097381699892e+02°)	(-1.08366525920348e+01dB,-9.19338270448931e+01°)
2.88403150312664e+04	(-5.95873170554080e+00dB,1.74973436261511e+02°)	(-1.12146240512290e+01dB,-9.29607672808180e+01°)
3.01995172040206e+04	(-5.92792339110464e+00dB,1.73831323369107e+02°)	(-1.15926828021592e+01dB,-9.40006789870988e+01°)
3.16227766016842e+04	(-5.89620989777466e+00dB,1.72667926791000e+02°)	(-1.19706880912926e+01dB,-9.50563411896736e+01°)
3.31131121482595e+04	(-5.86337542754733e+00dB,1.71479939197203e+02°)	(-1.23485055692815e+01dB,-9.61306944661582e+01°)
3.46736850452536e+04	(-5.82920356196276e+00dB,1.70263841307529e+02°)	(-1.27260079893695e+01dB,-9.72268583865529e+01°)
3.63078054770106e+04	(-5.79347760675154e+00dB,1.69015878384414e+02°)	(-1.31030762732023e+01dB,-9.83481511404178e+01°)
3.80189396320566e+04	(-5.75598133833458e+00dB,1.67732033959116e+02°)	(-1.34796010442574e+01dB,-9.94981114077506e+01°)
3.98107170553503e+04	(-5.71650022335061e+00dB,1.66408000672162e+02°)	(-1.38554847057983e+01dB,-1.00680522499870e+02°)
4.16869383470341e+04	(-5.67482325473441e+00dB,1.65039148198765e+02°)	(-1.42306442133137e+01dB,-1.01899438721038e+02°)
4.36515832240172e+04	(-5.63074551578604e+00dB,1.63620488293514e+02°)	(-1.46050146597860e+01dB,-1.03159213805564e+02°)
4.57088189614881e+04	(-5.58407163978643e+00dB,1.62146637111642e+02°)	(-1.49785538488872e+01dB,-1.04464531145466e+02°)
4.78630092322645e+04	(-5.53462035319117e+00dB,1.60611775180647e+02°)	(-1.53512480525579e+01dB,-1.05820435304340e+02°)
